iter	Passed	Remaining
0	128	128029
1	130	65352
2	132	44168
3	135	33719
4	136	27130
5	137	22816
6	140	19961
7	142	17672
8	145	15971
9	145	14451
10	148	13341
11	150	12392
12	151	11475
13	151	10694
14	152	10008
15	153	9431
16	154	8930
17	155	8463
18	155	8042
19	156	7659
20	156	7313
21	157	6997
22	158	6715
23	159	6469
24	159	6226
25	160	6022
26	161	5811
27	161	5616
28	162	5435
29	162	5266
30	163	5111
31	164	4968
32	164	4834
33	165	4707
34	166	4584
35	166	4467
36	167	4357
37	167	4252
38	168	4153
39	169	4059
40	169	3969
41	170	3882
42	170	3804
43	171	3726
44	172	3651
45	172	3580
46	173	3511
47	173	3444
48	174	3383
49	175	3325
50	175	3270
51	176	3216
52	177	3164
53	177	3112
54	178	3062
55	178	3015
56	179	2969
57	180	2925
58	180	2883
59	181	2842
60	182	2801
61	182	2761
62	183	2724
63	183	2686
64	184	2650
65	184	2616
66	185	2584
67	186	2552
68	186	2520
69	187	2489
70	187	2458
71	188	2428
72	189	2400
73	189	2373
74	190	2347
75	191	2323
76	191	2297
77	192	2271
78	192	2246
79	193	2222
80	193	2198
81	194	2175
82	194	2149
83	195	2127
84	195	2106
85	196	2086
86	197	2068
87	197	2049
88	198	2030
89	198	2011
90	199	1991
91	199	1973
92	200	1955
93	201	1938
94	201	1921
95	202	1905
96	202	1888
97	203	1873
98	204	1857
99	204	1842
100	205	1827
101	205	1812
102	206	1797
103	207	1783
104	207	1769
105	208	1755
106	208	1742
107	209	1729
108	209	1716
109	210	1702
110	211	1690
111	211	1678
112	212	1666
113	212	1654
114	213	1642
115	214	1630
116	214	1618
117	215	1607
118	215	1598
119	216	1587
120	217	1577
121	217	1565
122	218	1555
123	218	1545
124	219	1535
125	219	1524
126	220	1514
127	220	1504
128	221	1494
129	221	1485
130	222	1475
131	223	1466
132	223	1457
133	224	1449
134	224	1441
135	225	1432
136	226	1424
137	226	1415
138	227	1407
139	227	1399
140	228	1391
141	228	1382
142	229	1375
143	230	1367
144	230	1360
145	231	1352
146	231	1344
147	232	1337
148	232	1330
149	233	1323
150	234	1316
151	234	1310
152	235	1304
153	236	1297
154	236	1291
155	237	1285
156	238	1278
157	238	1271
158	239	1265
159	240	1260
160	240	1253
161	241	1247
162	241	1241
163	242	1235
164	243	1230
165	243	1224
166	244	1219
167	245	1213
168	245	1208
169	246	1202
170	246	1197
171	247	1191
